Time,Price,Cng
10-29-01,14.1,0.57
10-31-24,14.09,0.5
10-33-49,14.11,0.64
10-36-16,14.08,0.43
10-38-40,14.07,0.36
10-41-03,14.07,0.36
10-43-34,14.06,0.29
10-45-56,14.03,0.07
10-48-20,14.03,0.07
10-50-43,14.03,0.07
10-53-06,14.05,0.21
10-55-27,14.04,0.14
10-57-49,14.04,0.14
11-00-13,14.07,0.36
11-02-35,14.06,0.29
11-04-57,14.1,0.57
11-07-18,14.12,0.71
11-09-41,14.1,0.57
11-12-04,14.09,0.5
11-14-26,14.1,0.57
11-16-50,14.09,0.5
11-19-14,14.13,0.78
11-21-37,14.11,0.64
11-24-00,14.08,0.43
11-26-21,14.07,0.36
11-28-44,14.08,0.43
11-31-07,14.08,0.43
11-33-29,14.07,0.36
11-36-01,14.05,0.21
11-38-24,14.06,0.29
11-40-45,14.07,0.36
11-43-09,14.07,0.36
11-45-31,14.02,0
11-47-55,13.98,-0.29
11-50-17,13.98,-0.29
11-52-40,14.03,0.07
11-55-04,14.03,0.07
11-57-26,14.04,0.14
11-59-48,14.02,0
12-02-10,14.03,0.07
12-04-34,14.02,0
12-06-59,13.98,-0.29
12-09-25,13.98,-0.29
12-11-48,13.99,-0.21
12-14-10,14,-0.14
12-16-33,13.99,-0.21
12-18-55,13.96,-0.43
12-21-20,13.94,-0.57
12-23-42,13.96,-0.43
12-26-04,13.95,-0.5
12-28-28,13.96,-0.43
12-30-50,13.96,-0.43
12-33-15,13.95,-0.5
12-35-41,13.93,-0.64
12-38-04,13.92,-0.71
12-40-27,13.92,-0.71
12-42-49,13.92,-0.71
12-45-14,13.91,-0.78
12-47-36,13.93,-0.64
12-49-59,13.95,-0.5
12-52-21,13.96,-0.43
12-54-44,13.95,-0.5
12-57-06,13.92,-0.71
12-59-29,13.93,-0.64
13-01-51,13.92,-0.71
13-04-13,13.93,-0.64
13-06-35,13.94,-0.57
13-08-59,13.92,-0.71
13-11-24,13.9,-0.86
13-13-47,13.9,-0.86
13-16-11,13.86,-1.14
13-18-33,13.87,-1.07
13-20-56,13.87,-1.07
13-23-19,13.88,-1
13-25-45,13.87,-1.07
13-28-11,13.88,-1
13-30-34,13.87,-1.07
13-32-56,13.88,-1
13-35-18,13.88,-1
13-37-39,13.87,-1.07
13-40-01,13.88,-1
13-42-24,13.86,-1.14
13-44-47,13.88,-1
13-47-09,13.87,-1.07
13-49-32,13.88,-1
13-51-53,13.88,-1
13-54-15,13.86,-1.14
13-56-37,13.84,-1.28
13-58-59,13.84,-1.28
14-01-21,13.82,-1.43
14-03-43,13.83,-1.36
14-06-05,13.84,-1.28
14-08-29,13.85,-1.21
14-10-52,13.84,-1.28
14-13-15,13.83,-1.36
14-15-38,13.87,-1.07
14-18-02,13.88,-1
14-20-24,13.89,-0.93
14-22-46,13.87,-1.07
14-25-08,13.88,-1
14-27-30,13.88,-1
14-29-52,13.9,-0.86
14-32-14,13.91,-0.78
14-34-35,13.92,-0.71
14-36-58,13.91,-0.78
14-39-20,13.96,-0.43
14-41-43,13.93,-0.64
14-44-05,13.93,-0.64
14-46-28,13.95,-0.5
14-48-50,13.94,-0.57
14-51-12,13.94,-0.57
14-53-34,13.98,-0.29
14-55-55,13.97,-0.36
14-58-17,13.96,-0.43
15-00-38,14.01,-0.07
15-03-01,14.15,0.93
15-05-24,14.11,0.64
15-07-47,14.12,0.71
15-10-09,14.13,0.78
15-12-30,14.09,0.5
15-14-52,14.07,0.36
15-17-19,14.06,0.29
